internal_id,author,birthYear,birthPlace
454,Thierry Acot-Mirande,1960,Paris
455,Maurice Schumann,1911,16e arrondissement de Paris
456,Jack Thieuloy,1931,Beaucaire
457,Marie Skobtsov,1891,Riga
458,Arkadi Stolypine,1903,Kalnaberžė
459,Benjamin Péret,1899,Rezé
460,André Migot,1892,18e arrondissement de Paris
461,Dominique Ehrhard,1958,Mulhouse
462,Philippe Jullian,1919,Bordeaux
463,Émile Guimet,1836,Lyon
464,Émile Henry,1872,Barcelone
465,Émile Javal,1839,Paris
466,Émile Littré,1801,ancien 11e arrondissement de Paris
467,Émile Mâle,1862,Commentry
468,Émile Pagès,1893,Gaillefontaine
469,Q286293,1825,Marseille
470,Émile Picot,1844,Paris
471,Émile Pouget,1860,Pont-de-Salars
472,Émile Senart,1847,Reims
473,Émile Souvestre,1806,Morlaix
474,Léon Gautier,1832,Le Havre
475,Émile Vuillermoz,1878,4e arrondissement de Lyon
476,Émile de Najac,1828,Lorient
477,Paul Meurice,1818,ancien 4e arrondissement de Paris
478,Armand Keravel,1910,Brest
479,Éric-Emmanuel Schmitt,1960,Sainte-Foy-lès-Lyon
480,Patrick Lapeyre,1949,Paris
481,Jean Rostand,1894,17e arrondissement de Paris
